Company,Year,Quarter,Sentence,Sentiment,Score,Topic 1,Topic 2,Keyword
Brinker International,2017,Q1,"labor wage rates have increased in line with our expectations, 3% to 4% for the year .",neutral,0.9943187832832336,Null,Null,labor wage rates line expectations % % year
Brinker International,2017,Q1,interest expense for the quarter was up approximately $5 million year-over-year .,neutral,0.8911540508270264,Null,Null,interest expense quarter was
Brinker International,2017,Q1,our simplified menu is the fundamental move in the process of growing traffic at Chili's .,positive,0.6702304482460022,Null,Null,menu process traffic Chili fundamental move
Brinker International,2017,Q1,we believe this now provides us multiple near-term opportunities to build further momentum .,neutral,0.9870564937591553,Null,Null,multiple build momentum near-term opportunities
Brinker International,2017,Q1,"""we're not -- so innovation hasn't stopped with this menu,"" says Wyman T. Roberts CEO .",positive,0.9049630165100098,Innovation,Null,innovation menu CEO Wyman T. T. Roberts
Brinker International,2017,Q1,bank of america's new menu will be more weighted to 2Q than it was last year .,positive,0.9899424314498901,Null,Null,new menu last year bank of america
Brinker International,2017,Q1,guest feedback on the menu has been strong .,neutral,0.9936983585357666,Null,Null,guest feedback menu
Brinker International,2017,Q1,"bank's reinvesting a lot back into quality, says Gregory Francfort .",neutral,0.9069342017173767,Null,Null,bank lot quality Gregory Francfort
Brinker International,2017,Q1,Wyman T. Roberts has seen a bounce-back following the reopening of its burger menu .,negative,0.9870931506156921,Null,Null,bounce-back burger menu Wyman T. T. Roberts
Brinker International,2017,Q1,"we've launched the menu and launched the marketing afterwards, too .",positive,0.9782056212425232,Null,Null,menu marketing afterwards
Brinker International,2017,Q1,"most of our marketing is national, and so we don't do a whole lot of local marketing .",positive,0.9912148714065552,Null,Null,whole lot lot of local marketing
Brinker International,2017,Q1,the industry performed a little better here in October .,neutral,0.9931207299232483,Null,Null,October industry performed
Brinker International,2017,Q1,the mix in the first quarter was driven primarily by in-restaurant feature card merchandising .,positive,0.9948282837867737,Null,Null,mix driven first quarter quarter was in-restaurant feature card feature card merchandising
Brinker International,2017,Q1,we expect a more normal level of menu pricing starting in the second half .,positive,0.9556741714477539,Pricing,Null,pricing normal level second half level of menu
Brinker International,2017,Q1,we will remain elevated in our pricing position through the end of this calendar year .,neutral,0.9631330966949463,Pricing,Null,pricing position end calendar year remain elevated
Brinker International,2017,Q1,we lap some of our larger price increases from last year as we move into the month of december .,neutral,0.9218776226043701,Pricing,Null,lap price increases move last year month of december
Brinker International,2017,Q1,"in terms of annual store margin guidance, you expect to see labor costs up a little bit less .",neutral,0.9885184168815613,Null,Null,terms labor costs little bit annual store margin store margin guidance
Brinker International,2017,Q1,we're seeing an increase in guests that haven't been to Chili's in a while .,neutral,0.8997039198875427,Null,Null,increase guests Chili
Brinker International,2017,Q1,a 1% increase in comp sales is a good way to hold margins .,neutral,0.9919241070747375,Null,Null,% sales hold margins good way increase in comp
Brinker International,2017,Q1,"""anytime you make that magnitude of a change to a menu, there is that risk,"" says will .",positive,0.9473658204078674,Null,Null,anytime magnitude change menu risk
Brinker International,2017,Q1,fajita category is a strong category for us from a margin and check standpoint .,neutral,0.9418365955352783,Null,Null,margin check standpoint fajita category strong category
Brinker International,2017,Q1,but we bring in the $6.99 price point to give that value proposition the foundation it needs .,positive,0.9755006432533264,Pricing,Null,bring price point value proposition foundation needs
Brinker International,2017,Q1,"if you want to drive traffic, you're going to give up some people that didn't want to be there .",positive,0.9824903607368469,Null,Null,want drive traffic people want
Brinker International,2017,Q1,"""losing customers is, in a sense, a good thing,"" says Wyman T. Roberts CEO, president & non-independent director .",neutral,0.6944531202316284,Null,Null,customers sense CEO president good thing Wyman T. T. Roberts non-independent director
Brinker International,2017,Q1,"""we're seeing significant improvements in guest satisfaction on our burger category,"" says Howard Wells Penney Hedgeye .",neutral,0.993707537651062,Null,Null,guest satisfaction burger category significant improvements Howard Wells Wells Penney Penney Hedgeye
Brinker International,2017,Q1,the casual dining industry is operating at a different model than today at $10 or $9 labor .,positive,0.9925785660743713,Null,Null,operating labor different model casual dining industry model than today
Brinker International,2017,Q1,"""we can't afford to not evaluate and scrutinize kind of how that's being invested"" ""we're looking at it across the board on all aspects of labor,"" says Wyman T. Roberts CEO .",positive,0.9934396147727966,Investment,Null,afford evaluate kind board aspects labor CEO Wyman T. T. Roberts
Brinker International,2017,Q1,"""we should be able to manage labor better because you are just not doing as many things""",neutral,0.8097225427627563,Null,Null,manage labor many things
Brinker International,2017,Q1,"chili's has been aggressive about investing in ways to find efficiencies, technology-related .",positive,0.8465204834938049,Investment,Null,chili ways efficiencies
Brinker International,2017,Q1,we're now able to start communicating those things and marketing those more aggressively .,neutral,0.9777489900588989,Null,Null,start things marketing
Brinker International,2017,Q1,the company has been the leading casual dining company and in the top 5 .,neutral,0.987764298915863,Null,Null,top casual dining company
Brinker International,2017,Q1,Wyman T. Roberts has rolled out handhelds in all of California .,positive,0.9299874901771545,Null,Null,handhelds California Wyman T. T. Roberts
Brinker International,2017,Q1,we're happy with what we've seen so far .,neutral,0.9892092347145081,Null,Null,
Brinker International,2017,Q1,"there's a learning curve, but we continue to make these investments .",positive,0.9928057789802551,Investment,Null,curve continue investments
Brinker International,2017,Q1,"""we have proven to be an effective and efficient operator,"" says Joseph G. Taylor senior VP & CFO .",neutral,0.9923751950263977,Null,Null,proven efficient operator VP CFO Joseph G. G. Taylor
Brinker International,2017,Q1,"""it's been company-wide now for the quarter, but our whole franchise system is getting up to speed"" ""we're always looking at those opportunities,"" says Taylor .",neutral,0.9688630104064941,Null,Null,company-wide quarter speed opportunities Taylor whole franchise system
Brinker International,2017,Q1,"maggiano's saw a 2.5% comp decline in the quarter, a lot higher than hurricanes .",negative,0.7754698395729065,Null,Null,maggiano saw % comp decline quarter lot hurricanes
Brinker International,2017,Q1,the team's gotten much more aggressive in the second quarter .,neutral,0.6042513847351074,Null,Null,team gotten second quarter
Brinker International,2017,Q1,"""the holiday season is significantly more important to them than to Chili's,"" says Wyman .",positive,0.9791033267974854,Null,Null,holiday season Chili Wyman
Brinker International,2017,Q1,"the casual dining industry comp has reaccelerated, but chili's hasn't .",positive,0.9674077033996582,Null,Null,comp chili casual dining industry
Brinker International,2017,Q1,both the industry and Chili's have seen some better results .,neutral,0.9932575225830078,Null,Null,industry Chili results
Brinker International,2017,Q1,"based on your comp guidance, should we assume comps accelerate rest of year?",positive,0.9944023489952087,Null,Null,comp guidance comps accelerate rest of year
Brinker International,2017,Q1,"Joseph G. Taylor Senior VP & CFO: ""we like the mix we have"" ""we would consider it in the right circumstances,"" he says .",positive,0.8689609169960022,Null,Null,VP CFO mix Joseph G. G. Taylor Taylor Senior right circumstances
Brinker International,2017,Q1,"""the who you're partnering with is a very important aspect of that,"" says Taylor .",positive,0.9906861186027527,Null,Null,Taylor important aspect
Brinker International,2017,Q1,"the industry has gotten better in October, according to the public data .",neutral,0.9922909140586853,Null,Null,industry gotten October public data
Brinker International,2017,Q1,we're not counting on a big industry turnaround .,positive,0.8587840795516968,Null,Null,counting big industry turnaround
Brinker International,2017,Q1,"""we have seen our traffic trends turn,"" says the company .",positive,0.9451537132263184,Null,Null,traffic trends turn company
Brinker International,2017,Q1,a 5.3% increase in the average ticket at chili's in the first quarter of '18 .,neutral,0.994301438331604,Null,Null,% increase '18 average ticket first quarter ticket at chili
Brinker International,2017,Q1,that's driven heavily off of the smokehouse combo promotion in-store .,positive,0.9499955773353577,Null,Null,driven smokehouse combo promotion combo promotion in-store
Brinker International,2017,Q1,the opportunity is going to be how we lean more aggressively into the value messaging .,positive,0.9719754457473755,Null,Null,opportunity lean value
Brinker International,2017,Q1,burger promotion was not intended to have a price point in the promotion .,positive,0.9947353005409241,Pricing,Null,burger price point promotion was
Brinker International,2017,Q1,"burger spot had a pretty good mix, but less than half of the rotation .",positive,0.9713431596755981,Null,Null,burger half rotation spot had good mix
Brinker International,2017,Q1,repo pace was a little bit stronger than anticipated for the quarter .,neutral,0.9910683631896973,Null,Null,repo quarter pace was little bit
Brinker International,2017,Q1,"""we understood the value that we saw in the stock price, we are aware of that,"" says Joseph G. Taylor .",positive,0.9346407055854797,Pricing,Null,understood value saw stock price Joseph G. G. Taylor
Brinker International,2017,Q1,"""we do anticipate seeing the leverage ratio move back below 3.75x in the second half of the fiscal year,"" says Glass .",neutral,0.9780482053756714,Null,Null,anticipate leverage ratio move Glass second half fiscal year
Brinker International,2017,Q1,"e-commerce takes a greater share of retail sales, and footfall in every year goes further down in malls .",positive,0.9706906080245972,Null,Null,e-commerce share footfall year malls retail sales
Brinker International,2017,Q1,we're guiding the year still to 27% to 28% tax rate and you'll back out exceptions to that .,positive,0.9885650277137756,Null,Null,year exceptions % tax rate
Brinker International,2017,Q1,"if you think of the stock option expensing or the way the accounting changed, do you back it out?",positive,0.994839608669281,Null,Null,think stock option way accounting changed
Brinker International,2017,Q1,Joseph G. Taylor Senior VP & CFO From an adjusted earnings perspective .,positive,0.9943063855171204,Null,Null,VP CFO earnings perspective Joseph G. G. Taylor Taylor Senior
Brinker International,2017,Q1,"""we are very much still guiding to that tax rate for the year,"" he says .",positive,0.9818931818008423,Null,Null,tax rate year
Brinker International,2017,Q1,"Mika Ware, vice president of finance and investor relations, gives the floor .",positive,0.9949572682380676,Null,Null,vice investor relations floor Mika Ware president of finance
Brinker International,2018,Q1,"chili's performance continues to climb, up 2% in comp sales and 4% in traffic for the quarter .",neutral,0.9940020442008972,Null,Null,chili performance climb sales quarter % in comp % in traffic
Brinker International,2018,Q1,"by fourth quarter, we were capturing share, driving traffic and running positive comps .",neutral,0.950379490852356,Null,Null,share traffic fourth quarter positive comps
Brinker International,2018,Q1,we remain committed to our traffic driving strategy and believe there's plenty of upside .,neutral,0.5613911747932434,Null,Null,traffic strategy remain committed plenty of upside
Brinker International,2018,Q1,"this quarter has been our best year, outperforming the industry on sales and traffic .",neutral,0.9934685230255127,Null,Null,quarter year industry sales traffic
Brinker International,2018,Q1,we're committed to make it affordable for our guests to enjoy chili's more frequently .,positive,0.8334302306175232,Null,Null,guests enjoy chili
Brinker International,2018,Q1,our hourly and manager turnover is significantly better than the industry .,neutral,0.9931383728981018,Null,Null,manager turnover industry
Brinker International,2018,Q1,Combined comp sales for Brinker in the first quarter were positive 1.8% .,neutral,0.9934112429618835,Null,Null,Brinker % first quarter quarter were Combined comp sales
Brinker International,2018,Q1,chili's was positive to the industry in traffic by over 460 basis points .,neutral,0.994257926940918,Null,Null,chili basis points industry in traffic
Brinker International,2018,Q1,to-go business at both brands performed significantly well .,neutral,0.9940371513366699,Null,Null,to-go business brands performed
Brinker International,2018,Q1,restaurant operating margin for the quarter was 11.1% .,positive,0.9929528832435608,Null,Null,restaurant operating margin % quarter was
Brinker International,2018,Q1,restaurant labor increased 20 basis points year- over-year .,neutral,0.9937055706977844,Null,Null,restaurant basis points year- labor increased
Brinker International,2018,Q1,reimage program is now fully underway at chili's .,positive,0.943364679813385,Null,Null,reimage program chili
Brinker International,2018,Q1,question and answer operator: do you have any sense of where that might be coming from?,positive,0.9914624094963074,Null,Null,question answer operator sense
Brinker International,2018,Q1,"answer: yes, we're growing lunch, dinner and takeout at a pretty good rate .",neutral,0.8369678854942322,Null,Null,answer yes lunch dinner takeout good rate
Brinker International,2018,Q1,"answer: no, we don't think there's 1 player giving it up us much .",positive,0.9910607933998108,Null,Null,answer think player
Brinker International,2018,Q1,"Wyman T. Roberts CEO, President & Non-Independent Director: ""it's a relatively flat margin environment"" ""we're getting more effective and efficient from a marketing perspective,"" says Joseph G. Taylor senior VP & CFO .",neutral,0.9927536845207214,Null,Null,CEO President efficient marketing perspective VP CFO Wyman T. T. Roberts Non-Independent Director Joseph G. G. Taylor flat margin environment
Brinker International,2018,Q1,"""it was tricky this quarter, you had a strong mix last year,"" says John Glass .",positive,0.8432531952857971,Null,Null,tricky quarter strong mix last year John Glass
Brinker International,2018,Q1,"Wyman T. Roberts CEO, president & non-independent director: ""we feel good about our staffing levels"" ""we're really focused on building and supporting the quality of the team members we have,"" he says .",neutral,0.9691164493560791,Null,Null,CEO president feel levels building quality team members Wyman T. T. Roberts non-independent director
Brinker International,2018,Q1,"""our focus is on really making sure that they're supported to do the job that we expect""",positive,0.9887884259223938,Null,Null,focus sure job
Brinker International,2018,Q1,bank of america has a portion of its debt that is already fixed .,positive,0.9941347241401672,Null,Null,portion debt bank of america
Brinker International,2018,Q1,"""we have incorporated what we think will be a conservative rate environment into the numbers that we provided for the year,"" he says .",positive,0.96883225440979,Sustainability,Null,think numbers year conservative rate environment
Brinker International,2018,Q1,Wyman T. Roberts is pleased with the transition from Plenti over to My Chili's Reward .,neutral,0.9911152124404907,Null,Null,transition Plenti Reward Wyman T. T. Roberts My Chili
Brinker International,2018,Q1,"""we see a significant upside as we kind of more aggressively market against that group in the future,"" he says .",neutral,0.9582111835479736,Null,Null,kind market group future significant upside
Brinker International,2018,Q1,"traffic is up 400 basis points this quarter, down 800 basis points last year .",negative,0.8017683029174805,Null,Null,traffic basis points quarter basis points last year
Brinker International,2018,Q1,"we are continuing the market share, gaining momentum in traffic .",neutral,0.993337869644165,Null,Null,market share momentum in traffic
Brinker International,2018,Q1,"Wyman T. Roberts CEO, President & Non-Independent Director Sure .",positive,0.9950193166732788,Null,Null,CEO President Wyman T. T. Roberts Non-Independent Director Director Sure
Brinker International,2018,Q1,we continue to see this strategy playing out well for us and continue to grow traffic .,neutral,0.9917866587638855,Null,Null,continue strategy continue grow traffic
Brinker International,2018,Q1,our strategy is to grow share through traffic and to grow the traffic at Chili's over the last year has been our goal .,neutral,0.9562608599662781,Null,Null,strategy grow grow Chili goal last year share through traffic
Brinker International,2018,Q1,we look at the broader casual dining marketplace to understand how are we performing .,positive,0.9941551089286804,Null,Null,look broader understand casual dining marketplace
Brinker International,2018,Q1,Wyman T. Roberts has been able to lean into some of its more traditional value propositions .,positive,0.523819625377655,Null,Null,lean Wyman T. T. Roberts traditional value propositions
Brinker International,2018,Q1,the 3 for $10 is working very well for us both at lunch and dinner .,neutral,0.9885798096656799,Null,Null,lunch dinner
Brinker International,2018,Q1,it also takes pressure off your marketing that you don't have a recreate urgency every 6 or 8 weeks .,negative,0.5118693709373474,Null,Null,pressure marketing recreate urgency weeks
Brinker International,2018,Q1,Wyman T. Roberts plans to remodel 250 restaurants this fiscal year .,positive,0.8456182479858398,Null,Null,plans remodel restaurants Wyman T. T. Roberts fiscal year
Brinker International,2018,Q1,"""there's zero downtime.",positive,0.9892120361328125,Null,Null,zero downtime
Brinker International,2018,Q1,we don't close.,positive,0.9947929978370667,Null,Null,
Brinker International,2018,Q1,"we work them at night,"" says Wyman t. roberts exec .",positive,0.9954087138175964,Null,Null,work night Wyman t. roberts exec
Brinker International,2018,Q1,"customer response to ""3 for $10"" promotion was strong .",neutral,0.994426965713501,Null,Null,customer response promotion was
Brinker International,2018,Q1,Wyman T. Roberts is pretty much in line with what we saw last year when we brought it out the first time .,positive,0.9449967741966248,Null,Null,line saw brought Wyman T. T. Roberts last year first time
Brinker International,2018,Q1,"if we had any updates, we would give them to you in the press release and the comments .",positive,0.9935035109519958,Null,Null,updates press release comments
Brinker International,2018,Q1,"operator's next question is coming from Karen Holthouse, Goldman Sachs Group Inc.",positive,0.9941989183425903,Null,Null,operator next question Karen Holthouse Goldman Sachs Sachs Group Group Inc
Brinker International,2018,Q1,Wyman T. Roberts has a marketing plan that runs throughout the year .,positive,0.994125247001648,Null,Null,marketing plan runs year Wyman T. T. Roberts
Brinker International,2018,Q1,"""we'll continue to move the ball forward as it relates to those initiatives,"" he says .",neutral,0.6023898124694824,Null,Null,continue move ball relates initiatives
Brinker International,2018,Q1,there's a $269 million gain to be recognized quarterly over 15 years .,neutral,0.893932044506073,Null,Null,gain years
Brinker International,2018,Q1,"Wyman T. Roberts CEO, president & non-independent director: that would be adjusted out .",positive,0.9950247406959534,Null,Null,CEO president Wyman T. T. Roberts non-independent director
Brinker International,2018,Q1,"""we track, obviously, our guests very closely to make sure we're delivering on our promises,"" he says .",positive,0.8907008171081543,Null,Null,track guests sure promises
Brinker International,2018,Q1,"a lease accounting standard change coming down the road that'll have an impact on it, he adds .",negative,0.6941589713096619,Null,Null,lease accounting road impact standard change
Brinker International,2018,Q1,there seems to be some really broad breadth -- broad reaching strength across markets .,neutral,0.713572084903717,Null,Null,markets broad breadth broad reaching strength
Brinker International,2018,Q1,"the focus is really right now on take-out, says Wyman T. Roberts CEO .",positive,0.9937270879745483,Null,Null,focus right take-out CEO Wyman T. T. Roberts
Brinker International,2018,Q1,"""we are definitely in the delivery business with maybe 50 delivery companies nationwide,"" says Howard Penney .",positive,0.5406914949417114,Null,Null,delivery delivery companies Howard Penney business with maybe
Brinker International,2018,Q1,"if you're going to partner with us, you have to start thinking about how you integrate with us .",positive,0.9927305579185486,Null,Null,partner start integrate
Brinker International,2018,Q1,the whole issue around incrementality and profitability is on the on the table .,positive,0.9946221113204956,Null,Null,profitability table whole issue issue around incrementality
Brinker International,2018,Q1,Wyman T. Roberts has a lot of effective analytical models that can help understand incrementality .,positive,0.6241635084152222,Null,Null,lot help understand incrementality Wyman T. T. Roberts analytical models
Brinker International,2018,Q1,chili's marketing team has been working to position the brand's value proposition .,positive,0.6687542200088501,Null,Null,chili marketing team position brand value proposition
Brinker International,2018,Q1,"we survey every team member in the company, typically twice a year .",positive,0.9956011772155762,Null,Null,survey team member company year
Brinker International,2018,Q1,getting as much money as possible is also a high priority for us .,positive,0.9925450682640076,Null,Null,much money high priority
Brinker International,2018,Q1,the average server at chili's averages over $20 an hour .,positive,0.9937631487846375,Null,Null,averages hour average server server at chili
Brinker International,2018,Q1,"""we have some really amazing team members in the back of the house,"" says Wyman .",neutral,0.9557722210884094,Null,Null,team members house Wyman
Brinker International,2018,Q1,takeout is in the low double-digit percentage mix and growing about double digits .,positive,0.9860044121742249,Null,Null,takeout double digits low double-digit percentage mix
Brinker International,2018,Q1,"Wyman T. Roberts CEO, President & Non-Independent Director We feel really good about the takeout business .",neutral,0.9757005572319031,Null,Null,CEO President feel takeout business Wyman T. T. Roberts Non-Independent Director Director We
Brinker International,2018,Q1,"if you're not getting those takeout dollars, they're going to move to somebody else who offers takeout .",positive,0.9868179559707642,Null,Null,takeout dollars move somebody offers takeout
Brinker International,2018,Q1,"we're focused on making sure that our takeout experience is strong, and doing the things we've talked about .",positive,0.9817289710044861,Null,Null,sure takeout experience things
Brinker International,2018,Q1,"we're committed to a direct marketing approach, leveraging technology .",positive,0.993643045425415,Null,Null,technology direct marketing approach
Brinker International,2018,Q1,"we've had some learning over the last 4, 5 years on loyalty .",positive,0.9720137715339661,Null,Null,years loyalty
Brinker International,2018,Q1,the low-end more budget-conscious consumer is always compelled to find value .,positive,0.9915806651115417,Null,Null,low-end value budget-conscious consumer
Brinker International,2018,Q1,"Nicole Miller: ""we're seeing both improvement in the restaurant, at dinner and at lunch"" reimages will start to have more of an impact as we move into the third and fourth quarter of the year .",neutral,0.8867735266685486,Null,Null,improvement restaurant dinner lunch reimages start impact move year Nicole Miller fourth quarter
Brinker International,2018,Q1,the restaurant has been a little bit bigger of a pickup than dinner .,positive,0.792168915271759,Null,Null,restaurant little bit pickup than dinner
Brinker International,2018,Q1,the distribution industry is under intense pressure in terms of labor .,negative,0.8239403963088989,Distribution,Null,distribution industry terms labor intense pressure
Brinker International,2018,Q1,it will be a challenge for a lot of players in the industry going forward .,positive,0.9309766292572021,Null,Null,challenge lot players industry
Brinker International,2018,Q1,"Wyman T. Roberts CEO, President & Non-Independent Director And Nicole: scale is key .",positive,0.9946326017379761,Null,Null,CEO President scale key Wyman T. T. Roberts Non-Independent Director Director And And Nicole
Brinker International,2018,Q1,Wyman T. Roberts has a very diverse marketing plan .,positive,0.9815623164176941,Null,Null,Wyman T. T. Roberts diverse marketing plan
Brinker International,2018,Q1,media inflation world around television has us scrutinizing that aspect of the marketing budget .,positive,0.9718255996704102,Null,Null,media inflation aspect marketing budget world around television
Brinker International,2018,Q1,we're aggressively looking at how does digital and social play out relative to other .,positive,0.9786601662635803,Null,Null,digital relative social play
Brinker International,2018,Q1,"sales, profits and guest metrics all feed into those calculations .",positive,0.9940551519393921,Null,Null,sales profits guest metrics feed calculations
Brinker International,2018,Q1,pressure on insurance was 20 basis point drag in this quarter .,negative,0.9772263765335083,Null,Null,quarter insurance was pressure on insurance basis point drag
Brinker International,2018,Q1,sales leaseback rents were about 70 bps .,positive,0.995434582233429,Null,Null,sales leaseback bps rents were
Brinker International,2018,Q1,"the ad expense line was up year-over-year, but that's one of the biggest items .",neutral,0.7520601153373718,Null,Null,items line was ad expense line
Brinker International,2018,Q1,"if you're seeing an increase in frequency from existing customers, are they trading up?",positive,0.5149271488189697,Null,Null,customers trading increase in frequency
Brinker International,2018,Q1,or are they going back to what originally drove them back?,positive,0.9916826486587524,Null,Null,drove
Brinker International,2018,Q1,Mika Ware VP of Finance & Investor Relations Goodbye .,positive,0.9934995174407959,Null,Null,VP Finance Mika Ware Investor Relations Relations Goodbye
Brinker International,2018,Q1,"Wyman T. Roberts CEO, President & Non-Independent Director BRINKER INTERNATIONAL, INC.",positive,0.994387686252594,Null,Null,CEO President BRINKER INTERNATIONAL INC Wyman T. T. Roberts Non-Independent Director
Brinker International,2019,Q1,"mika ware: fiscal '20 is off to a solid start for Brinker, right in line with expectations for the year .",neutral,0.9941264390945435,Null,Null,mika ware '20 Brinker right line expectations year solid start
Brinker International,2019,Q1,results for the quarter were released earlier this morning and are available on brinker.com .,positive,0.9954416751861572,Null,Null,results morning brinker.com quarter were
Brinker International,2019,Q1,he says management may discuss certain items that are not based entirely on historical facts .,positive,0.9947152733802795,Null,Null,management discuss certain items historical facts
Brinker International,2019,Q1,"total revenues for the quarter were $786 million, a year-over-year increase of 4.3% .",neutral,0.9947574138641357,Null,Null,% total revenues quarter were year-over-year increase
Brinker International,2019,Q1,comp sales were positive 2.3% with adjusted net earnings per share of $0.41 .,neutral,0.9941264390945435,Null,Null,comp share sales were net earnings % with adjusted net
Brinker International,2019,Q1,"""we're more than confident that we have plenty of momentum to deliver the sales and earnings growth""",neutral,0.9928538203239441,Null,Null,confident deliver sales earnings growth plenty of momentum
Brinker International,2019,Q1,first quarter results came from our strategy to offer convenience the way guests want it .,positive,0.9580056667327881,Null,Null,strategy offer convenience way guests want results came first quarter results
Brinker International,2019,Q1,our delivery business also achieved a tremendous start during the first quarter .,neutral,0.9937805533409119,Null,Null,delivery business tremendous start first quarter
Brinker International,2019,Q1,"around the world, our partners continue to grow the chili's brand .",neutral,0.8267455101013184,Null,Null,world partners continue grow chili brand
Brinker International,2019,Q1,"first quarter earnings per share came in at $0.41, in line with expectations for the quarter .",neutral,0.990285336971283,Null,Null,line expectations share came first quarter earnings quarter earnings per share
Brinker International,2019,Q1,"execution is growing sales, effectively managing the middle of the P&L .",neutral,0.9922745823860168,Null,Null,execution sales middle P L
Brinker International,2019,Q1,"total revenues in the first quarter were $786 million, a 4.3% increase .",neutral,0.9939886331558228,Null,Null,% increase total revenues first quarter quarter were
Brinker International,2019,Q1,"chili's reported quarterly net comp sales of 2.9%, gapping the casual dining industry by close to 4% .",negative,0.9256209135055542,Null,Null,chili % % quarterly net comp net comp sales casual dining industry
Brinker International,2019,Q1,"traffic was flat for the quarter, which is positive to the industry by over 300 basis points .",neutral,0.9886000752449036,Null,Null,quarter industry basis points traffic was
Brinker International,2019,Q1,maggiano's first quarter results were below our expectations .,negative,0.993596076965332,Null,Null,maggiano expectations results were first quarter results
Brinker International,2019,Q1,restaurant operating margin will benefit from additional sales leverage provided by these restaurants .,neutral,0.9881160259246826,Null,Null,restaurant operating margin benefit restaurants additional sales leverage provided
Brinker International,2019,Q1,"operating cash flow for the quarter was almost $87 million, while free cash flow grew significantly to just over $66 million .",neutral,0.9472834467887878,Null,Null,quarter was flow grew operating cash flow free cash flow
Brinker International,2019,Q1,"effective this quarter, we adopted the new lease accounting standard .",positive,0.9934108853340149,Null,Null,quarter standard new lease accounting
Brinker International,2019,Q1,"Wyman T. Roberts CEO: ""the trends that we've laid out in the first quarter are pretty much in line"" with what we're experiencing in October .",neutral,0.7658073902130127,Null,Null,CEO trends laid line October Wyman T. T. Roberts first quarter
Brinker International,2019,Q1,"""we're really excited about what we have to come,"" says operator .",neutral,0.9422754645347595,Null,Null,operator
Brinker International,2019,Q1,Joseph G. Taylor executive VP & CFO No.,positive,0.993074893951416,Null,Null,executive VP CFO Joseph G. G. Taylor
Brinker International,2019,Q1,"Stephen, we haven't changed anything from a commodity outlook standpoint .",positive,0.9946111440658569,Commodities,Null,Stephen anything commodity outlook standpoint
Brinker International,2019,Q1,"we're eliminating potential volatility from the equation, especially as it relates to ground beef .",positive,0.9870424270629883,Null,Null,equation relates ground beef potential volatility
Brinker International,2019,Q1,Wyman T. Roberts is rolling out new tabletop devices in fiscal '20 .,positive,0.5175257921218872,Null,Null,'20 Wyman T. T. Roberts new tabletop devices
Brinker International,2019,Q1,the handhelds are continuing to evolve .,positive,0.8728619813919067,Null,Null,handhelds evolve
Brinker International,2019,Q1,"""we're seeing tremendous results,"" says Wyman .",neutral,0.9936527013778687,Null,Null,Wyman tremendous results
Brinker International,2019,Q1,the only outsized is this quarter in the G&A side of the equation .,positive,0.985171914100647,Null,Null,quarter G side equation
Brinker International,2019,Q1,we're layering in the Midwest region as part of that year-over-year delta .,positive,0.9929012656211853,Null,Null,year-over-year delta region as part
Brinker International,2019,Q1,"Gregory Francfort from bank of america: ""we're seeing stronger performance""",neutral,0.9916330575942993,Null,Null,performance Gregory Francfort bank of america
Brinker International,2019,Q1,sure: customers are using the chili's brand for delivery right now .,positive,0.9942544102668762,Null,Null,sure customers chili right brand for delivery
Brinker International,2019,Q1,the movement is across-the-board.,positive,0.9839655160903931,Null,Null,movement across-the-board
