Company,Year,Quarter,Summary
Brinker International,2019,Q3,"maggiano's has created a program that features premium liquors . with me on the call are Wyman Roberts, president; and Joe Taylor, chief financial officer . but it looks like segment sales may appear weaker here in April or at least choppy . the company has found big players willing to help them with their systems . there's always marketing levers that we can pull to help more aggressively address driving traffic . one of your peers did put up an April same-store sales number last night . Wyman T. Roberts didn't really put a lot of marketing support behind to-go in this quarter . we've chosen to maintain a tight pricing strategy, staying in our targeted range of 1.5% to 2% ."
Brinker International,2019,Q4,"the company reported another quarter of top line and EPS growth . chili's comp sales ended the year up 2.3%, 120 basis points beat to the industry . we're also excited about some of the ideas about how we can take it to new locations . with 53 locations, tons of white space for Maggiano . the industry has seen a couple of soft spots, specifically April and July . to-go has been a nice contributor to comps . my chili's rewards program is just over 12 months post the relaunch . machine learning and artificial intelligence are being used to help drive traffic . manager bonuses and profit sharing piece of equation that flex with business . delivery plays, frankly, probably to a less value-oriented customer . for the first time in recent history, we are required to take the full annual expense of stock-based compensation programs ."
Brinker International,2020,Q1,"both brands continued their nearly 3-year streak of outperforming other casual dining chains . restaurant operating margin improved 60 basis points year-over-year . pandemic hit back in march, the market drove us all to dramatically cut costs . the brand is already generating high satisfaction scores and strong repeat usage . we're evaluating internal and external opportunities to increase awareness levels . independents are seeing outsized gains in smaller markets versus mid to larger-sized markets . in high-volume restaurants, we are looking to be a little more aggressive with plexi . maggiano's is not as big an issue for chili's, but it's where people come in when they're out shopping . the conversation is about whether we have a round of minimum wage increases at the federal level . average house team members are making well over minimum wage . we're going to be the more aggressive player in that development opportunity ."
Brinker International,2020,Q2,"maggiano's had a softer quarter, but finished strong with one of our best holiday seasons . this quarter, we began replacing our original table-top system with new, more advanced system . third-party marketplace continues to be the lion's share of the delivery effort . we're seeing a seasonal build in delivery as we move through the winter . chili's is seeing a month-over-month increase in sales . the good news for us, and for the industry, is it's moving in the right direction . that gives servers freeze-up server time to do other things . the company is also pushing its whole steak portfolio, which is doing well . chili's has its most successful margarita of the month in ever, in January . the economics of third-party delivery are pinned to incrementality . based on the cost structure and the incrementality combined, it makes delivery a really nice piece of business ."
Brinker International,2020,Q3,"with me on today's call are Wyman Roberts, chief executive officer and president . he estimates average weekly burn rate now to be approximately $5 million . chili's is one of the few casual diners that's been able to keep nearly all of its restaurants open . we'll be very judicious in turning on some of those nonessential spends as we go . the ability to give our team members a very detailed labor models is an important piece of the equation . ""we actually have several restaurants with positive comp sales year-over-year"" the bridge is actually starting in short order as we move back into dining room openings . mass and broad traditional marketing is probably not going to be as effective in this environment . social distancing is set up within our restaurants while we work through this next phase . a number of states have allowed delivery of alcohol per se . doordash is pleased with its partnership with keybanc capital markets . we don't have that same relationship building opportunity in dining room . but we do have that opportunity in the dining room as we do in the kitchen ."
Brinker International,2020,Q4,"despite volatility, it's good to see the category and the industry moving in the right direction . maggiano's fiscal 2Q revenue is typically attributable to banquets or large party occasions . digital sales of off-premise meals have grown from low teens to more than 50% . the biggest opportunity in the rest of the fiscal year is getting capacity back online . Wyman T. Roberts will definitely spend fewer dollars in G&A in this fiscal year than in the past typical years . others are food waste, and we're getting mixed feelings on pricing power . we are identifying millions of dollars of opportunities as we wind things back up again . we still as a company with restaurants that are open are seeing positive company-wide average sales growth . ""we're going to be back to these low-single digits"""
Brinker International,2021,Q1,"top line sales performed well and outpaced pre-COVID levels by a very respectable amount . we experienced commodity inflation in the mid-single-digit range, with significant price from pork and chicken . there is leverageability and upside to those margins as we move through the rest of the fiscal year . we saw stable boneless, skinless breast prices for years . the doordash agreement does allow for expansion to third-party aggregators . Deutsche bank's at least $400 million of EBITDA is still a firm figure ."
Brinker International,2021,Q2,"a global pandemic and widespread civil and political interest led to the famine . in the second quarter, chili's increased its 2-year trend of taking share and leading the category . this year, COVID eliminated most of their typically robust banquet and corporate catering channels . ""we are strengthening our balance sheet by deleveraging to below 3.5x lease-adjusted debt"" tabletop device allows you to interact with it before they serve or even gets there . it will allow service to be a little more efficient on a busy friday night . chili's segment restaurant margin moved quarter-over-quarter . we'll use the traditional marketing approaches that you used to build any brand . we've done a couple of acquisitions of franchise that have brought units back into corporate ownership . average tip server is in the $20 range . restaurants in higher-wage states have their own approach to things . the split between delivery and takeout has remained relatively consistent . it's definitely going to be a different landscape post COVID . casual dining sector is under a lot of pressure right now . mika ware, vice president of finance and investor relations, joins michael hochman, co-host ."
Brinker International,2021,Q3,"pent-up demand is getting a lot of publicity and discussion . maggiano's is a good example of a business that isn't reliant on alcoholic beverages . wings is now in 9 countries and 160 locations outside the u.s. the company is hiring more team members than usual to support our increased volumes . we think there's a real nice growth vehicle there against that brand and any other future brand . the digital mix will probably stay in that mid-40% range as dining rooms get back to full capacity . we anticipate that as more people get vaccinated, this will improve and people will feel more comfortable gathering . if you continue this positive trend with vaccinations, towards the end of the year and the holiday season, we could be in a very nice place . underlying COGS pressure is coming, if not for you in the very near term . we don't anticipate having to -- or going back to a very aggressive television campaign . we don't have a big hole to fill with regard to manager bonuses next year . ""it's just wings,"" $150 million-plus, is the next virtual brand to warrant a national rollout ."
Brinker International,2021,Q4,"in a year of social distancing, it's just wings led the industry on traffic and regained positive sales momentum . increase in quarterly tax rate negatively impacted fourth quarter EPS approximately $0.06 . we made a decision in the fourth quarter to create some incremental bonuses . maggiano's Classics is a higher check average product . it's also a value brand, killer wings at stupid price is our tagline . maggiano's classics will build through the year as we roll this thing out over the next few quarters . that's not for fiscal year '22, those will start to fall into place back half of this year . we're very aware of what's going on in the industry, and you're seeing some fairly aggressive moves on pricing . but we've kept pricing power intact, and we will use pricing power . the real issue is more where you're down several, primarily in the heart of the house . awnings at chili's are metal, so we don't have to deal with faded paint . the majority of our U.S. restaurants are company owned . Wyman T. Roberts CEO, president & non-independent director yes ."
Brinker International,2022,Q1,"the company has restructured to bring critical people functions closer to its operations . hospitality is all about making sure we deliver a great experience for dine-in guest and off-premise guests . atmosphere is the guest-facing experience in our dining rooms and bars . restaurant operating margin benefited about 70 basis points due to reclassification . 3 for me has seen significant PPA or average check increases . some customers have moved back to the a la carte to find the items that have removed . cage and chicken pasta, chicken fajitas and the margarita-grill chicken are destination items for Chili' a planned midyear price increase was pulled forward to this October menu . barclays assuming down mid-single-digit traffic in fiscal '23 ."
Brinker International,2022,Q2,"takeout and delivery remained strong in the mid-30s, while dining room demand was on the rise . chili's has more team members on a per restaurant basis today than pre-COVID . re-hire rates for managers who chose to leave have been in the low to mid-single-digit range . we're also doubling down on leadership development programs for both new and tenured managers . chili's has completed the implementation of 2 major technology systems . we're seeing particularly inflationary environments in the cost of sales side of the equation . we do anticipate that those inflationary rates that high single digits will moderate . some in the industry have chosen to partner with companies such as Reef across urban areas . the chili's portfolio has helped us understand how to run in a very tight kitchen environment . we're encouraged and it could be a meaningful growth vehicle for us in the future . maggiano's delivery piece continues to be a real strong driver for them . all participants have been placed on only listen mode ."
Brinker International,2022,Q3,"virtual brands are comping positive, with solid sales levels above pre-pandemic . inflationary pressures throughout the P&L continued in the third quarter . ""we're still seeing some high-single low-teen numbers with regard to various geographical areas"" organic growth is key to that story, and we want to have an organic growth story . we believe commodity prices will moderate, which can have a meaningful impact to margins . pressures throughout the P&L continued in the third quarter . inflationary pressures continued throughout the year . a sluggish third quarter resulted in a slowdown in the equities and london ."
Brinker International,2022,Q4,"my chili's will still play a big role in driving traffic, but there's probably a better way to utilize it . we need to talk about the unbeatable value on our 3 for Me menu . virtual brands are currently about 6% of mix . core chilis does roughly 5 to 6x the business in our virtual brands . traffic was negative at Chili's for the quarter and decelerated throughout as guests react to the challenging inflationary environment . the relative mix dine-in to off-prem has remained relatively consistent . ""we have 2 really superior values in our restaurants today"" the 3 for Me program is essentially an appetizer, an entree and unlimited drinks starting at $10.99 ."
Brinker International,2023,Q1,"as we move further into the fiscal year, we anticipate delivering sustained traffic growth . we're seeing mix move into the new premium margaritas and guest trade into full-price wings and Crispers . more hard at work is the next label Core 4 improvements . manager turnover returning to lower industry- leading levels and sales leverage against fixed labor costs were driving factors . we are off to a good start to the year and are gaining increasing confidence in our strategies . virtual brands are contributing 4% of the overall 5.8% traffic decline . ""it's a good all-in traffic expectation we should be having in the near and medium term"" if traffic was positive year-on-year, it was also a positive gap versus the industry in October . we won't get like the current advertising campaigns impact on awareness until a few months after . off-premise business at Chili's and Maggiano's was relatively stable quarter-to-quarter . we're continuing to improve the customer experience, improve the Core 4 and get back on air advertising with outstanding value . chili's has made great progress on the equipment side of the equation . the bigger question is how do we sustain traffic over-time . virtual brands are contributing 4% of the overall 5.8% traffic decline . restaurant margin helped by de- emphasis of virtual brands, lower packaging and delivery costs . as we move further into the fiscal year, we anticipate delivering sustained traffic growth ."
Brinker International,2023,Q2,"the company is adamant about protecting the price points for guests that would otherwise not be able to afford Chili's or casual dining . the off-premise business delivered an 82% increase versus prepandemic levels . second quarter same-store sales were up 8% . this quarter, we'll start reinvesting some of our dollars saved from less discounting to get back on TV with a 3 For Me value platform . ""we have seen a low-end customer tail-off"" before we took incremental pricing . our value scores this quarter ticked up, which would be surprising given the price increases . the demographics using that is probably skews towards the higher economic side of the equation . that's $10.99 for a complete meal with unlimited chips and salsa, a full-size entree and a bottomless drink . the return to TV advertising will be about abundant value at a sharp price point . traffic in dining room down a little bit relative to prepandemic dining room . chili's has seen dramatic declines in top-of-mind awareness during the pandemic . a mild recession could have a positive impact on the restaurant industry . if the macros continue to get worse, what you see them do is they can't afford a bad experience ."
Brinker International,2023,Q3,"Nicolaus & company has been deemphasizing the virtual brands . we're executing better than we have in a long time, delivering abundant value with high quality at sharp price points . i made structural changes to consolidate our marketing team to drive traffic and frequency . chili's is reinvesting its energy and resources into what we call core 4 segments . both brands reported meaningful top line sales growth . a trend in the last 5 to 10 years is that, customers are willing to pay for high-quality products . George and his team are putting together a broader-based marketing campaign . chili started raising menu prices later in the cycle than many of its competitors . the other is a tailwind -- things like food grade, intent to return, server attentiveness . food and beverage expected to see continued improvement as a percent of company sales . commodity inflation expected to be down in the lower single-digit range . we have a very different merchandising strategy this time around with TV advertising . we made significant changes to our in-restaurant merchandising strategy versus the last time we ran national tv ads . i made structural changes to consolidate our marketing team to drive traffic and frequency ."
Brinker International,2023,Q4,"a year ago, we challenged our vice presidents of operations to get after one obsession metric . we significantly improved managerial turnover and we are now better than pre-pandemic levels . the biggest change is going into the deep end on how much money we're going to invest in advertising . chili's closed 12 openings, gross openings for the year . but the earnings per share range implied growth that was much wider . we feel like we have a recipe for success on that . two questions for cnn.com's john sutter . it's just wings, boneless and bone-in wings, different piece counts, all the sauces . ad spend will be chunky around football season or evenly spread throughout the year . there will also be culture pops that will keep chili's in the news between big tentpole programs . if you're seeing demographically specific success, you can look into it . if it's a 'successful' demographic, you could look into that ."
Brinker International,2024,Q2,"a high-quality complete meal at a great value is winning with guests . improvement in the guest experience is leading to better overall experience . the 12-month turnover improved another 2 points to 22% . we haven't seen any material change in the operations of our business . Kesadiaz is now only in the tray section, and we've completely removed from advertisers . we think that more of our hours will stay with us past that 30-, 60- and 90-day mark . the menu we dropped yesterday included close to 2% of incremental price . a conservative consumer is showing signs of slowing down . that will get incorporated into the F '25 guidance, which will be dependent upon rate curves . the rate curve will be adjusted to reflect the change in rate ."
Conagra Brands,2016,Q2,"we remain committed to an investment-grade credit rating for the business . we will continue to move with urgency, but our efforts will require time and investment . our success will require us to break a number of bad habits . Divestitures and FX negatively impacted net sales by 5.5% . we remain committed to an investment-grade credit rating for the business . reddi-wip, egg beaters and other costs impacted adjusted operating profit . the company doesn't commit capital upfront, but repatriates innovation once it's proven . phasing out 3Q and 4Q in the second half is going to be a big step . if you want to know more, you can send us a message on cnn ireport ."
Conagra Brands,2017,Q1,"despite higher-than-expected inflation, we continue to make progress on our margin expansion agenda . repurchased approximately 9 million shares of common stock for $300 million during the first quarter . unaffected gross margin expansion this quarter is plus 61 basis points . lamb weston and related joint ventures were reclassified as discontinued operations in the second quarter of fiscal 2017 . organic net sales were down 3% for the first quarter . Organic Net sales were up 3% in Grocery & Snacks, International and Foodservice . decline was driven by lower volume and higher-than-anticipated inflation . repurchase approximately $1.1 billion of shares in fiscal 2018 subject to market conditions . still will have some incremental slotting in the second quarter . a year ago, we had aggressive deep discounting that had been long negotiated with customers . millennials are living paycheck to paycheck because they've been accustomed to buying refrigerated . animal proteins, peanuts and peanuts are some of the items that have been hit the most . we're highly confident that we will get a terrific return on our investment ."
Conagra Brands,2017,Q2,"organic net sales grew 2.3% in the second quarter . organic Net sales and adjusted EPS are near the high end of their respective guidance ranges . Organic net sales were up 2.3%, driven by volume . the company completed its $250 million acquisition of Angie's Artisan Treats . it also announced an agreement to acquire Sandwich Bros. During the quarter, we marked our 1-year anniversary . investment in higher quality merchandising events led to price/mix decline of 1.2% . we cooperate fully with the FTC as it conducts its review of the wesson transaction . the time we get to this year, we will see a pretty material uptick in that renewal rate . many retailers are kicking in the next phase of products in the second half . banquet is the largest single-serve frozen meal brand by volume in the U.S. investor relations is around for the rest of the day for any follow-up discussions ."
Conagra Brands,2017,Q3,"Darren C. Serrao, co-COO and executive VP, believes the aggregate performance of the food industry does not reflect the underlying growth opportunities . he has taken a series of actions across his portfolio in order to reach these opportunity areas . there's clearly been a shift to nonmeasured channels in the last few months . we still do plenty of promoting, and we still have a large trade budget . in the most recent case with Thanasi Foods, it happened to be a modernizing acquisition . Darren connolly is president, CEO & director at a&p firm ."
Conagra Brands,2017,Q4,"becoming a pure play has enabled us to sharpen our focus on the critical elements necessary to improve performance . adobo chicken, Korean beef, chicken sausage and barley and Cuban pork are the flavors . we are pleased with the great progress we have made and about the continuous improvement mindset . egg beaters product supply was not impacted by the avian flu issue . we expect reported net sales growth to be down 2% to flat . if we have to take price, they will still be a terrific value relative to alternatives . retraining the consumer to buy our products in a non-merchandised condition . Deutsche Bank AG is on the lookout for deals that make good strategic sense . if there were an actionability meter out there, it would make it sound like there are more assets coming to market ."
Conagra Brands,2018,Q1,"organic net sales increased 1.2% with all 4 operating segments delivering year-over-year growth . Organic net sales growth ex Trenton was 1.2%, driven by a 1.2% increase in price/mix . our 2-year CAGR shows just how much we've delivered in recent years . the increase was primarily driven by higher stock-based compensation expense . we ended the quarter with $3.8 billion in total debt, approximately $75 million of cash flow on hand . we'll begin the important prep work that is required for an Investor Day next calendar year . a&p, above-the-trade line considerations have shifted significantly over the last 5 years . the days on hand that retailers keep these days versus 10, 20 years ago is significantly smaller . the increase was primarily driven by higher stock-based compensation expense . the increase in compensation expense was driven by a higher stock price ."
Conagra Brands,2018,Q2,"organic net sales, excluding the effects of the sale of Trenton, were down 1.6% . with Birds Eye, it had extended too far and missed some segments of the market . we continue to see years of runway in frozen and expect the space to benefit from long-term demographic tailwinds . birds eye, Wish-Bone and Duncan Hines have all suffered sales and distribution losses this past year . on sales, we now estimate the portfolio will land calendar year '18 at roughly $3 billion . despite recent declines in sales and distribution, base velocities are improving . pinnacle will implement its value-over-volume approach . we expect to over-deliver on our synergy targets without incurring any cash cost . we see incremental savings, primarily in the areas of SG&A and procurement . pinnacle's [ near end ] business weakness is causing lower EPS growth . but given the synergy over-delivery, we expect to get right back to the same place at EPS by 2022 . half of that miss was from the inflation on freight transportation and higher vegetable inflation . a slight miss in the second quarter for the base conagra business sounds like it was a calendar shift . birds eye is an example by a country mile, so we'll get it back in when the products are ready . it doesn't allow you to show the full calendar 2019 Pinnacle because it's our fiscal year, so hopefully, that sheds a little light on the gross margin dynamic ."
Conagra Brands,2018,Q3,"Organic net sales for the second and third quarters combined grew 0.1% . organic net sales were down 6.3%. organic grew 2.6% as the acquisition of Sandwich Bros. added 60 basis points of growth . more than 1/2 of the company's marketing investments were in Grocery & Snacks . underlying sales trends, notably consumption, continue to strengthen across our domestic retail segments . we expect our strong top line trend to continue in the fourth quarter . healthy choice competes very effectively and has had a makeover to focus on active lifestyle . acquisitions added 500 basis points of growth in the quarter . PBGC charges pension plans a variable expense of just over 3% on underfunded pension obligations . one of your peers said they were surprised by higher transportation costs . banquet is the #1 brand in frozen single-serve meals by volume . interest expense and increase in joint venture income add $0.01 of EPS improvement ."
Conagra Brands,2018,Q4,"organic net sales grew 2%, driven by solid growth in both of our domestic retail segments . this has translated into very strong returns for our shareholders . the combined company will be the #2 player in frozen foods with $4.9 billion . the segment has now begun to lap its value-over-volume action . a vegetable processing plant is not the same as a frozen food manufacturing plant . pinnacle has clearly proven their ability to drive productivity and margin improvement . the company is a lean company, but we're a company that's focused on growth . if we were to look at cash EPS accretion, we'd be double digits . the Wish-Bone business fits very close to home with what we do with Hunt's ketchup, frontera salsa . we don't anticipate any antitrust issues, but are evaluating potential divestiture candidates ."
Conagra Brands,2019,Q1,"organic net sales were down 1.7% due to unplanned softness in international and Foodservice . the segment's organic net sold were down versus plan in prior year due to discrete items in our businesses in Puerto Rico and India . we invested 1.7% of organic net sale in investment in Q1 . our international segment benefited from growth in snacks and frozen . our grocery sales performance in Q1 was impacted by some holdover from last quarter . however, we experienced some unplanned softness in our international and foodservice segments . organic net sales were down 1.7% due to unplanned hardness in international and Foodservice . foodservice and international were impacted by external events in Puerto Rico and India . we made the strategic decision this quarter to opt out of a low margin contract . Hunt's and Chef Boyardee continue to maintain the #1 position among branded competitors . the brand is the second largest in the plant-based meat alternative space . as we've consistently said, we are committed to a solid investment-grade credit rating . the biggest driver in the first quarter was the timing of sales in India and Puerto Rico . shipment patterns changed certain sales in india, which caused timing shifts ."
Conagra Brands,2019,Q2,"we delivered organic net sales growth of 1.6% during the quarter, which brings our year-to-date growth to 0.1% . organic Net sales for the quarter were up 18.3% versus the same period a year ago . Organic net sales for this segment increased 0.9%, reflecting continued strong end-market performance . as expected, sales and distribution on Birds Eye declined as our integration and deleveraging programs remained on target through the second quarter . Snacks had another terrific quarter, maintaining its momentum . healthy choice power dressing is a new line of vegetable-based dressings . organic results for the second quarter ended on November 24, 2019 . net sales in the food service segment increased 6.8% in Q2 . pinnacle's volume was lumpier in the year-ago period because of 2 different owners . this year, it came in the way customers ordered it and that's the way it flowed . a number of the businesses that have those kinds of margins tend to be in secular decline . first half sales numbers were a tad behind consumption . the company's historic track record was around 9-ish percent . pinnacle's volume was lumpier in the year-ago period because of 2 different owners . pinnacles' volume was . lumpier because of a number of factors, including . the fact that the owners were different ."
Conagra Brands,2019,Q3,"organic net sales for the third quarter were up 35.7% compared to a year ago . international segment's natural net sales were down 90 basis points . we expect organic net . sales growth ex Trenton to be approximately 1% . integrating the business, reinvigorating birds eye, Duncan Hines and Wish-Bone is our focus . big retailers starting to realize they have major buying power when it comes to traditional marketing services like advertising . big retailers starting to realize they have major buying power when it comes to traditional marketing services like advertising . we've reinvigorated and continued to lead the frozen category . net sales of snacks increased 8.2% in the quarter, led by strong in-market performance . the Pinnacle segment's adjusted operating profit totaled $130 million . lower adjusted equity method investment earnings offset lower EPS . the focus with respect to Pinnacle is on executional issues on 3 brands . in the year-ago period, there was an effect from the hurricanes and shifting of inventories . big retailers starting to realize they have major buying power when it comes to traditional marketing services like advertising . the customer is becoming a better conduit for effectiveness and efficiency in brand building year in, year out ."
Conagra Brands,2019,Q4,"international's organic net sales were up 5.6% for the quarter and up 3.7% for the full year . Organic net sales guidance is updated to be in the range of 1% to 1.5% . competition became more aggressive on price and displaced valuable merchandising support . we remain on track with our deleveraging plan, having reduced debt by $450 million . we have recognized $31 million of synergies . competition became more aggressive on price and displaced valuable merchandising support . lower-than-anticipated wheat prices and reduced volatility in the wheat markets negatively impacted Ardent Mills . new meat snacks with bold flavors, new forms and optimized price pack architecture . the Gardein brand is the second largest brand in the meat alternative space . alternatives to chicken have built a substantial beachhead . the brand already provides a diversified portfolio of products, particularly in the underappreciated alternative to chicken segment . in the second half, we will still have a healthy rate of investment and year-on-year, it won't be up . as the year ramps up, synergies will increase and that will improve margins ."
Conagra Brands,2020,Q1,"we delivered organic net sales growth of 15%, adjusted operating margins of 20.2%, adjusted EPS of $0.70 . organic net sale increase more than offset headwinds from divestitures and foreign exchange . we expect organic net revenues growth of plus 6% to plus 8% in the second quarter, and we expect less operating leverage benefit . the company believes that at-home eating will remain elevated for some time . the pivot to remote work is also a meaningful development . millennial and Gen X buyers are seeing substantial expansion in frozen . the COVID-19 pandemic benefited our 3 retail segments but negatively impacted the Foodservice segment . importantly, all 4 of our segments reported margin expansion in the quarter . as we continue to optimize our network and drive brand growth, we have greater financial flexibility . ""our synergy capture,"" which is a big part of our margin improvement, is on track"" ""we exited Q4 with retailer inventories highly depleted, way below normalized levels"" inventories have started to rebuild, but demand remains elevated . some categories are in good shape, and that's where we have the ability to maximize demand . there have been increases in spot rates for freight . the IR team is available for any follow-up discussions that anyone may have . the team will be happy to discuss any further issues that may arise ."
Conagra Brands,2020,Q3,"sales growth is likely to remain elevated until we're on the other side of this pandemic . organic net sales growth decreased 1.7%, while our adjusted operating margin was 15.7% . the IR team is available for any follow-up discussions anyone may want . all of our North America manufacturing facilities are open and running at high levels of utilization . refrigerated Meals continued to gain share at an accelerated rate in the quarter . the segment continued to benefit from the growth in the Canadian snacks business and frozen businesses . e-commerce is one place that tends to be a leading indicator . many customers are just trying to keep products on the shelf right now . single-serve entrées didn't do that great in the recession . consumers were making meals for the whole family to try to save money . if we were to come back in the fall, that would be a whole other ball game ."
Conagra Brands,2020,Q4,"During the first quarter of fiscal 2021, we expect organic net sales growth of 10% to 13% . organic Net sales increased 21.5% in the fourth quarter and 5.6% for the full year . for organic net sale, we do expect strong growth from the domestic retail businesses . consumers are rediscovering the enjoyment associated with at-home eating . fiscal 2020 saw unprecedented performance as we built upon the extraordinary progress we have made over the past 5 years . despite supply constraints, birds eye continued to lead frozen single-serve peers in new buyer acquisition . importantly, we remain on track to deliver our total synergy target of $305 million by the end of fiscal '22 . we are working with an external diversity and inclusion consultancy to help us identify specific opportunities that will have the most impact . the company believes that once people try our products, the data supports that we stand a very good chance that they'll come back again . more than half of the synergy to date has been from SG&A . executive compensation targets are anchored in our annual and long-term financial plans ."
Conagra Brands,2021,Q1,"Organic net sales for the first quarter increased 7% and adjusted EPS grew by nearly 8% . organic net sales declined by 0.4% compared to a year ago and increased 3% on a 2-year CAGR . the meaningful shift toward at-home eating tends to happen during the family formation years . innovation remained a key to our success across the we expect our first quarter this fiscal year to benefit the least from our inflation-justified pricing actions . these drivers include consumer demand, lower-than-expected elasticities of demand and incremental inflation justified pricing . we expect about 490 points of operational margin tailwind . we expect 490 basis points of margin tailwind coming out of our realized productivity . inflation ticked up in the second half of last year really ticking up in Q4 . the IR team is available for any follow-up calls that anyone may have . feel free to reach out to us if you have any questions ."
